dataset,branch,condition,eer_mean_pct,eer_sd_pct,seeds,selection
PartialSpoof,frame,soft_frame,9.591,0.284,3,source_dev
PartialSpoof,language,phone_unit,11.180,0.444,3,source_dev
PartialSpoof,context,phone,9.656,0.410,3,source_dev
PartialSpoof,context,duplicate,9.928,0.541,3,source_dev
PartialSpoof,context,fixed80,10.176,0.661,3,source_dev
LlamaA,frame,layer6,41.493,0.638,3,source_dev
LlamaA,frame,layer12,40.815,0.177,3,source_dev
LlamaA,last,base,42.304,0.909,18,source_dev
LlamaA,last,ACA-hard,42.017,0.612,3,source_dev
LlamaA,last,ACA-soft,41.835,0.388,3,source_dev
LlamaB,frame,layer6,41.245,0.069,3,source_dev
LlamaB,frame,layer12,35.701,0.089,3,source_dev
LlamaB,last,base,38.817,0.731,18,source_dev
LlamaB,last,ACA-hard,38.278,0.105,3,source_dev
LlamaB,last,ACA-soft,38.431,0.214,3,source_dev
HAD,frame,last,38.589,1.009,3,source_dev
HAD,context,soft_frame,57.906,5.026,3,source_dev
HAD,context,duplicate,52.076,0.589,3,source_dev
